IndustryType_MLA_B1_IncomeStatement,OrgType_MLA_B1_IncomeStatement,CurrentRating_MLA_B1_IncomeStatement,ReportingYear_MLA_B1_IncomeStatement,ReportingRegion_MLA_B1_IncomeStatement,ReportingLocalRegion_MLA_B1_IncomeStatement,ProfitNonFinancial_Income,ProfitsOnDealing_Income,Total_Income,OtherExpenses_Expenditure,Total_Expenditure,OperatingProfit_MLA_B1_IncomeStatement,Taxation_MLA_B1_IncomeStatement,MinorityInterests_MLA_B1_IncomeStatement,Profit_MLA_B1_IncomeStatement,Dividends_MLA_B1_IncomeStatement,RetainedProfit_MLA_B1_IncomeStatement
SOF,INC,Ba1,2017,USA,DE,2069521.76,4139043.52,6208565.29,5673323.6,5673323.6,535241.68,107048.34,62085.65,490279,24513.95,465765.05
SOF,INC,Ba1,2017,USA,DE,1882554.31,3765108.62,5647662.93,5132723.72,5132723.72,514939.21,102987.84,56476.63,468428,23421.4,445006.6
SOF,INC,Ba1,2017,USA,DE,1549017.36,3098034.72,4647052.08,4252538.98,4252538.98,394513.1,78902.62,46470.52,362081,18104.05,343976.95
IND,INC,Ba1,2017,USA,DE,1205886.62,2411773.25,3617659.87,2600699.37,2600699.37,1016960.5,203392.1,36176.6,849745,42487.25,807257.75
IND,INC,A1,2017,USA,DE,2198254.02,4396508.04,6594762.07,5885456.59,5885456.59,709305.47,141861.09,65947.62,633392,31669.6,601722.4
IND,INC,A1,2017,USA,DE,3775244.86,7550489.72,11325734.59,11294580.02,11294580.02,31154.57,6230.91,113257.35,138181,6909.05,131271.95
IND,INC,A1,2017,USA,DE,2296309.19,4592618.38,6888927.57,5794371.66,5794371.66,1094555.91,218911.18,68889.28,944534,47226.7,897307.3
IND,INC,A1,2017,USA,DE,393867.32,787734.65,1181601.97,538193.24,538193.24,643408.73,128681.75,11816.02,526543,26327.15,500215.85
FIN,INC,Ba1,2017,USA,DE,3011336.54,6022673.08,9034009.62,8324809.74,8324809.74,709199.88,141839.98,90340.1,657700,32885,624815
IND,INC,A1,2017,USA,DE,2907733,5815465.99,8723198.99,8015157.72,8015157.72,708041.26,141608.25,87231.99,653665,32683.25,620981.75
FIN,INC,Ba1,2017,USA,DE,2883645.13,5767290.26,8650935.39,8480813.33,8480813.33,170122.06,34024.41,86509.35,222607,11130.35,211476.65
IND,INC,C,2017,USA,DE,2474177.68,4948355.35,7422533.03,7337777.19,7337777.19,84755.84,16951.17,74225.33,142030,7101.5,134928.5
IND,INC,C,2017,USA,DE,3149732.14,6299464.28,9449196.43,8989926.38,8989926.38,459270.04,91854.01,94491.96,461908,23095.4,438812.6
IND,INC,C,2017,USA,DE,607629.42,1215258.84,1822888.26,957453.11,957453.11,865435.15,173087.03,18228.88,710577,35528.85,675048.15
IND,INC,C,2017,USA,DE,3423985.5,6847970.99,10271956.49,9321220.95,9321220.95,950735.54,190147.11,102719.56,863308,43165.4,820142.6
